,rate,DateTime,KWH,meters
62,Std,2011-11-24 16:00:00.0000000,3.787,21
63,Std,2011-11-24 16:30:00.0000000,4.69,21
64,Std,2011-11-24 17:00:00.0000000,5.869,21
65,Std,2011-11-24 17:30:00.0000000,5.636,21
66,Std,2011-11-24 18:00:00.0000000,5.866,21
67,Std,2011-11-24 18:30:00.0000000,7.666,21
68,Std,2011-11-24 19:00:00.0000000,7.9719999,21
69,Std,2011-11-24 19:30:00.0000000,7.111,21
70,Std,2011-11-24 20:00:00.0000000,7.575,21
71,Std,2011-11-24 20:30:00.0000000,6.064,21
72,Std,2011-11-24 21:00:00.0000000,7.5750001000000005,21
73,Std,2011-11-24 21:30:00.0000000,7.063,21
74,Std,2011-11-24 22:00:00.0000000,8.017,21
75,Std,2011-11-24 22:30:00.0000000,7.111,21
76,Std,2011-11-24 23:00:00.0000000,5.513,21
77,Std,2011-11-24 23:30:00.0000000,5.174,21
78,Std,2011-11-25 00:00:00.0000000,4.953,21
79,Std,2011-11-25 00:30:00.0000000,6.168,21
80,Std,2011-11-25 01:00:00.0000000,6.0940001,21
81,Std,2011-11-25 01:30:00.0000000,6.1259999,21
82,Std,2011-11-25 02:00:00.0000000,6.2219999,21
83,Std,2011-11-25 02:30:00.0000000,5.6970000999999995,21
84,Std,2011-11-25 03:00:00.0000000,5.8020001,21
85,Std,2011-11-25 03:30:00.0000000,4.6099999,21
86,Std,2011-11-25 04:00:00.0000000,4.141,21
87,Std,2011-11-25 04:30:00.0000000,3.731,21
88,Std,2011-11-25 05:00:00.0000000,3.277,21
89,Std,2011-11-25 05:30:00.0000000,3.141,21
90,Std,2011-11-25 06:00:00.0000000,3.509,21
91,Std,2011-11-25 06:30:00.0000000,3.468,21
92,Std,2011-11-25 07:00:00.0000000,3.2159999999999997,21
93,Std,2011-11-25 07:30:00.0000000,3.962,21
94,Std,2011-11-25 08:00:00.0000000,3.986,21
95,Std,2011-11-25 08:30:00.0000000,3.932,21
96,Std,2011-11-25 09:00:00.0000000,4.192,21
97,Std,2011-11-25 09:30:00.0000000,3.78,21
98,Std,2011-11-25 10:00:00.0000000,4.038,22
99,Std,2011-11-25 10:30:00.0000000,3.615,23
100,Std,2011-11-25 11:00:00.0000000,3.324,23
101,Std,2011-11-25 11:30:00.0000000,5.2720001,24
102,Std,2011-11-25 12:00:00.0000000,5.159,25
103,Std,2011-11-25 12:30:00.0000000,3.583,26
104,Std,2011-11-25 13:00:00.0000000,5.127,26
105,Std,2011-11-25 13:30:00.0000000,4.665,26
106,Std,2011-11-25 14:00:00.0000000,5.599,26
107,Std,2011-11-25 14:30:00.0000000,4.917,26
108,Std,2011-11-25 15:00:00.0000000,5.912,26
109,Std,2011-11-25 15:30:00.0000000,4.785,26
110,Std,2011-11-25 16:00:00.0000000,4.476999999999999,26
111,Std,2011-11-25 16:30:00.0000000,6.326999900000001,26
112,Std,2011-11-25 17:00:00.0000000,7.3889999,26
113,Std,2011-11-25 17:30:00.0000000,5.625,26
114,Std,2011-11-25 18:00:00.0000000,4.932,26
115,Std,2011-11-25 18:30:00.0000000,6.7139999999999995,26
116,Std,2011-11-25 19:00:00.0000000,7.12,26
117,Std,2011-11-25 19:30:00.0000000,8.764,26
118,Std,2011-11-25 20:00:00.0000000,7.789000000000001,26
119,Std,2011-11-25 20:30:00.0000000,7.409,26
120,Std,2011-11-25 21:00:00.0000000,7.698,26
121,Std,2011-11-25 21:30:00.0000000,9.764000000000001,26
122,Std,2011-11-25 22:00:00.0000000,8.907,26
123,Std,2011-11-25 22:30:00.0000000,8.815,26
124,Std,2011-11-25 23:00:00.0000000,7.529,26
125,Std,2011-11-25 23:30:00.0000000,7.413,26
126,Std,2011-11-26 00:00:00.0000000,6.405,26
127,Std,2011-11-26 00:30:00.0000000,7.866999900000001,26
128,Std,2011-11-26 01:00:00.0000000,6.833,26
129,Std,2011-11-26 01:30:00.0000000,5.9690001,26
130,Std,2011-11-26 02:00:00.0000000,6.0600000000000005,26
131,Std,2011-11-26 02:30:00.0000000,5.432,26
132,Std,2011-11-26 03:00:00.0000000,4.9299999,26
133,Std,2011-11-26 03:30:00.0000000,3.17,26
134,Std,2011-11-26 04:00:00.0000000,2.833,26
135,Std,2011-11-26 04:30:00.0000000,4.021,26
136,Std,2011-11-26 05:00:00.0000000,3.49,26
137,Std,2011-11-26 05:30:00.0000000,3.6390000000000002,26
138,Std,2011-11-26 06:00:00.0000000,4.045,26
139,Std,2011-11-26 06:30:00.0000000,3.857,26
140,Std,2011-11-26 07:00:00.0000000,3.805,26
141,Std,2011-11-26 07:30:00.0000000,4.7,26
142,Std,2011-11-26 08:00:00.0000000,4.546,26
143,Std,2011-11-26 08:30:00.0000000,4.104,26
144,Std,2011-11-26 09:00:00.0000000,3.893,26
145,Std,2011-11-26 09:30:00.0000000,5.494,28
146,Std,2011-11-26 10:00:00.0000000,4.85,29
147,Std,2011-11-26 10:30:00.0000000,6.947,31
148,Std,2011-11-26 11:00:00.0000000,6.769,31
149,Std,2011-11-26 11:30:00.0000000,6.242,33
150,Std,2011-11-26 12:00:00.0000000,6.119,34
151,Std,2011-11-26 12:30:00.0000000,7.0,35
152,Std,2011-11-26 13:00:00.0000000,7.204,35
153,Std,2011-11-26 13:30:00.0000000,9.441,35
154,Std,2011-11-26 14:00:00.0000000,9.0340001,35
155,Std,2011-11-26 14:30:00.0000000,8.206,35
156,Std,2011-11-26 15:00:00.0000000,10.249,35
157,Std,2011-11-26 15:30:00.0000000,10.116,35
158,Std,2011-11-26 16:00:00.0000000,9.618,35
159,Std,2011-11-26 16:30:00.0000000,9.717,35
160,Std,2011-11-26 17:00:00.0000000,10.9179999,35
161,Std,2011-11-26 17:30:00.0000000,12.347999999999999,35
162,Std,2011-11-26 18:00:00.0000000,11.193,35
163,Std,2011-11-26 18:30:00.0000000,13.443,35
164,Std,2011-11-26 19:00:00.0000000,13.7819999,35
165,Std,2011-11-26 19:30:00.0000000,12.592,35
166,Std,2011-11-26 20:00:00.0000000,12.338000000000001,35
167,Std,2011-11-26 20:30:00.0000000,12.832,35
168,Std,2011-11-26 21:00:00.0000000,12.348,35
169,Std,2011-11-26 21:30:00.0000000,12.112,35
170,Std,2011-11-26 22:00:00.0000000,12.483,35
171,Std,2011-11-26 22:30:00.0000000,10.815999999999999,35
172,Std,2011-11-26 23:00:00.0000000,11.4399999,35
173,Std,2011-11-26 23:30:00.0000000,9.469,35
174,Std,2011-11-27 00:00:00.0000000,6.89,35
175,Std,2011-11-27 00:30:00.0000000,9.0009999,35
176,Std,2011-11-27 01:00:00.0000000,9.1130001,35
177,Std,2011-11-27 01:30:00.0000000,8.585,35
178,Std,2011-11-27 02:00:00.0000000,7.9589999,35
179,Std,2011-11-27 02:30:00.0000000,7.0680000000000005,35
180,Std,2011-11-27 03:00:00.0000000,5.758,35
181,Std,2011-11-27 03:30:00.0000000,5.09,35
182,Std,2011-11-27 04:00:00.0000000,5.156,35
183,Std,2011-11-27 04:30:00.0000000,5.6560001,35
184,Std,2011-11-27 05:00:00.0000000,5.7430001,35
185,Std,2011-11-27 05:30:00.0000000,5.524,35
186,Std,2011-11-27 06:00:00.0000000,5.295,35
187,Std,2011-11-27 06:30:00.0000000,5.524,35
188,Std,2011-11-27 07:00:00.0000000,5.751,35
189,Std,2011-11-27 07:30:00.0000000,5.358,35
190,Std,2011-11-27 08:00:00.0000000,5.53,35
191,Std,2011-11-27 08:30:00.0000000,5.483,35
192,Std,2011-11-27 09:00:00.0000000,5.827,35
193,Std,2011-11-27 09:30:00.0000000,7.365,35
194,Std,2011-11-27 10:00:00.0000000,6.256,35
195,Std,2011-11-27 10:30:00.0000000,6.803,35
196,Std,2011-11-27 11:00:00.0000000,7.635,35
197,Std,2011-11-27 11:30:00.0000000,7.29,35
198,Std,2011-11-27 12:00:00.0000000,8.499,35
199,Std,2011-11-27 12:30:00.0000000,8.488,35
200,Std,2011-11-27 13:00:00.0000000,8.226,35
201,Std,2011-11-27 13:30:00.0000000,9.594,35
202,Std,2011-11-27 14:00:00.0000000,7.4350000000000005,35
203,Std,2011-11-27 14:30:00.0000000,8.8360001,35
204,Std,2011-11-27 15:00:00.0000000,9.6370001,35
205,Std,2011-11-27 15:30:00.0000000,7.935,35
206,Std,2011-11-27 16:00:00.0000000,10.3609999,35
207,Std,2011-11-27 16:30:00.0000000,10.629999999999999,35
208,Std,2011-11-27 17:00:00.0000000,12.1870001,35
209,Std,2011-11-27 17:30:00.0000000,13.3130002,35
210,Std,2011-11-27 18:00:00.0000000,10.7690001,35
211,Std,2011-11-27 18:30:00.0000000,11.4820001,35
212,Std,2011-11-27 19:00:00.0000000,11.6299999,35
213,Std,2011-11-27 19:30:00.0000000,13.8670001,35
214,Std,2011-11-27 20:00:00.0000000,10.609,35
215,Std,2011-11-27 20:30:00.0000000,10.917,35
216,Std,2011-11-27 21:00:00.0000000,9.881,35
217,Std,2011-11-27 21:30:00.0000000,10.177,35
218,Std,2011-11-27 22:00:00.0000000,9.255,35
219,Std,2011-11-27 22:30:00.0000000,11.4519999,35
220,Std,2011-11-27 23:00:00.0000000,8.916,35
221,Std,2011-11-27 23:30:00.0000000,8.246,35
222,Std,2011-11-28 00:00:00.0000000,5.852,35
223,Std,2011-11-28 00:30:00.0000000,7.741,35
224,Std,2011-11-28 01:00:00.0000000,7.361,35
225,Std,2011-11-28 01:30:00.0000000,6.506,35
226,Std,2011-11-28 02:00:00.0000000,7.1850001,35
227,Std,2011-11-28 02:30:00.0000000,6.801999899999999,35
228,Std,2011-11-28 03:00:00.0000000,6.2429999,35
229,Std,2011-11-28 03:30:00.0000000,5.7199999,35
230,Std,2011-11-28 04:00:00.0000000,4.6520001,35
231,Std,2011-11-28 04:30:00.0000000,3.906,35
232,Std,2011-11-28 05:00:00.0000000,4.135,35
233,Std,2011-11-28 05:30:00.0000000,3.551,35
234,Std,2011-11-28 06:00:00.0000000,4.394,35
235,Std,2011-11-28 06:30:00.0000000,5.128,35
236,Std,2011-11-28 07:00:00.0000000,6.481,35
237,Std,2011-11-28 07:30:00.0000000,8.1460001,35
238,Std,2011-11-28 08:00:00.0000000,7.636,35
239,Std,2011-11-28 08:30:00.0000000,6.039,35
240,Std,2011-11-28 09:00:00.0000000,6.541,35
241,Std,2011-11-28 09:30:00.0000000,6.972,37
242,Std,2011-11-28 10:00:00.0000000,6.577,37
243,Std,2011-11-28 10:30:00.0000000,6.573,38
244,Std,2011-11-28 11:00:00.0000000,8.122,40
245,Std,2011-11-28 11:30:00.0000000,8.437,40
246,Std,2011-11-28 12:00:00.0000000,7.4639999999999995,40
247,Std,2011-11-28 12:30:00.0000000,7.703,40
248,Std,2011-11-28 13:00:00.0000000,8.513,42
249,Std,2011-11-28 13:30:00.0000000,8.041,43
250,Std,2011-11-28 14:00:00.0000000,8.107000000000001,43
251,Std,2011-11-28 14:30:00.0000000,7.359,43
252,Std,2011-11-28 15:00:00.0000000,9.856,43
253,Std,2011-11-28 15:30:00.0000000,8.909,43
254,Std,2011-11-28 16:00:00.0000000,8.669,43
255,Std,2011-11-28 16:30:00.0000000,10.4109999,43
256,Std,2011-11-28 17:00:00.0000000,11.453,43
257,Std,2011-11-28 17:30:00.0000000,11.084,43
258,Std,2011-11-28 18:00:00.0000000,13.8640001,43
259,Std,2011-11-28 18:30:00.0000000,13.334,43
260,Std,2011-11-28 19:00:00.0000000,15.0,43
261,Std,2011-11-28 19:30:00.0000000,16.0939999,43
262,Std,2011-11-28 20:00:00.0000000,16.6959999,43
263,Std,2011-11-28 20:30:00.0000000,14.625,43
264,Std,2011-11-28 21:00:00.0000000,13.3619999,43
265,Std,2011-11-28 21:30:00.0000000,14.0479999,43
266,Std,2011-11-28 22:00:00.0000000,12.305000099999999,43
267,Std,2011-11-28 22:30:00.0000000,11.841,43
268,Std,2011-11-28 23:00:00.0000000,10.895,43
269,Std,2011-11-28 23:30:00.0000000,8.801,43
270,Std,2011-11-29 00:00:00.0000000,8.601,43
271,Std,2011-11-29 00:30:00.0000000,8.502,43
272,Std,2011-11-29 01:00:00.0000000,8.378,43
273,Std,2011-11-29 01:30:00.0000000,6.75,43
274,Std,2011-11-29 02:00:00.0000000,6.7820001,43
275,Std,2011-11-29 02:30:00.0000000,6.985,43
276,Std,2011-11-29 03:00:00.0000000,5.97,43
277,Std,2011-11-29 03:30:00.0000000,6.813,43
278,Std,2011-11-29 04:00:00.0000000,6.082,43
279,Std,2011-11-29 04:30:00.0000000,4.957,43
280,Std,2011-11-29 05:00:00.0000000,4.705,43
281,Std,2011-11-29 05:30:00.0000000,4.571,43
282,Std,2011-11-29 06:00:00.0000000,5.538,43
283,Std,2011-11-29 06:30:00.0000000,6.431,43
284,Std,2011-11-29 07:00:00.0000000,6.672,43
285,Std,2011-11-29 07:30:00.0000000,9.176,43
286,Std,2011-11-29 08:00:00.0000000,9.759,43
287,Std,2011-11-29 08:30:00.0000000,9.7029999,43
288,Std,2011-11-29 09:00:00.0000000,7.319,43
289,Std,2011-11-29 09:30:00.0000000,6.372,45
290,Std,2011-11-29 10:00:00.0000000,6.932,45
291,Std,2011-11-29 10:30:00.0000000,7.3150001,46
292,Std,2011-11-29 11:00:00.0000000,6.435,46
293,Std,2011-11-29 11:30:00.0000000,9.2720001,47
294,Std,2011-11-29 12:00:00.0000000,7.323,47
295,Std,2011-11-29 12:30:00.0000000,7.373,48
296,Std,2011-11-29 13:00:00.0000000,10.612,49
297,Std,2011-11-29 13:30:00.0000000,11.164000099999999,50
298,Std,2011-11-29 14:00:00.0000000,9.915000000000001,50
299,Std,2011-11-29 14:30:00.0000000,9.59,50
300,Std,2011-11-29 15:00:00.0000000,8.917,50
301,Std,2011-11-29 15:30:00.0000000,8.997,51
302,Std,2011-11-29 16:00:00.0000000,10.259,51
303,Std,2011-11-29 16:30:00.0000000,12.12,51
304,Std,2011-11-29 17:00:00.0000000,12.286,51
305,Std,2011-11-29 17:30:00.0000000,12.891,51
306,Std,2011-11-29 18:00:00.0000000,13.584999999999999,51
307,Std,2011-11-29 18:30:00.0000000,15.926,51
308,Std,2011-11-29 19:00:00.0000000,14.217,51
309,Std,2011-11-29 19:30:00.0000000,16.863,51
310,Std,2011-11-29 20:00:00.0000000,17.206,51
311,Std,2011-11-29 20:30:00.0000000,15.105,51
312,Std,2011-11-29 21:00:00.0000000,16.766000000000002,51
313,Std,2011-11-29 21:30:00.0000000,12.868,51
314,Std,2011-11-29 22:00:00.0000000,16.021,51
315,Std,2011-11-29 22:30:00.0000000,13.818999999999999,51
316,Std,2011-11-29 23:00:00.0000000,12.109,51
317,Std,2011-11-29 23:30:00.0000000,12.305000099999999,51
318,Std,2011-11-30 00:00:00.0000000,10.972,51
319,Std,2011-11-30 00:30:00.0000000,11.03,51
320,Std,2011-11-30 01:00:00.0000000,10.954,51
321,Std,2011-11-30 01:30:00.0000000,10.126,51
322,Std,2011-11-30 02:00:00.0000000,10.322000000000001,51
323,Std,2011-11-30 02:30:00.0000000,7.878,51
324,Std,2011-11-30 03:00:00.0000000,7.2780000000000005,51
325,Std,2011-11-30 03:30:00.0000000,7.8959999,51
326,Std,2011-11-30 04:00:00.0000000,6.13,51
327,Std,2011-11-30 04:30:00.0000000,5.967,51
328,Std,2011-11-30 05:00:00.0000000,5.639,51
329,Std,2011-11-30 05:30:00.0000000,5.55,51
330,Std,2011-11-30 06:00:00.0000000,6.806,51
331,Std,2011-11-30 06:30:00.0000000,8.133000000000001,51
332,Std,2011-11-30 07:00:00.0000000,7.958,51
333,Std,2011-11-30 07:30:00.0000000,10.703,51
334,Std,2011-11-30 08:00:00.0000000,12.6990001,51
335,Std,2011-11-30 08:30:00.0000000,8.968,51
336,Std,2011-11-30 09:00:00.0000000,9.264,52
337,Std,2011-11-30 09:30:00.0000000,11.19,54
338,Std,2011-11-30 10:00:00.0000000,10.108,57
339,Std,2011-11-30 10:30:00.0000000,9.737,58
340,Std,2011-11-30 11:00:00.0000000,9.177,56
341,Std,2011-11-30 11:30:00.0000000,10.996,59
342,Std,2011-11-30 12:00:00.0000000,12.429,60
343,Std,2011-11-30 12:30:00.0000000,11.305,60
344,Std,2011-11-30 13:00:00.0000000,11.099,61
345,Std,2011-11-30 13:30:00.0000000,11.512,61
346,Std,2011-11-30 14:00:00.0000000,11.514,62
347,Std,2011-11-30 14:30:00.0000000,11.563,62
348,Std,2011-11-30 15:00:00.0000000,9.344,62
349,Std,2011-11-30 15:30:00.0000000,11.77,63
350,Std,2011-11-30 16:00:00.0000000,13.016,63
351,Std,2011-11-30 16:30:00.0000000,14.4789999,63
352,Std,2011-11-30 17:00:00.0000000,15.285,63
353,Std,2011-11-30 17:30:00.0000000,15.7459999,63
354,Std,2011-11-30 18:00:00.0000000,17.63,63
355,Std,2011-11-30 18:30:00.0000000,18.0879999,63
356,Std,2011-11-30 19:00:00.0000000,17.036,63
357,Std,2011-11-30 19:30:00.0000000,17.802,63
358,Std,2011-11-30 20:00:00.0000000,18.974,63
359,Std,2011-11-30 20:30:00.0000000,22.185,63
360,Std,2011-11-30 21:00:00.0000000,20.6250002,63
361,Std,2011-11-30 21:30:00.0000000,18.2420001,63
362,Std,2011-11-30 22:00:00.0000000,15.626,63
363,Std,2011-11-30 22:30:00.0000000,16.137999999999998,63
364,Std,2011-11-30 23:00:00.0000000,14.8,63
365,Std,2011-11-30 23:30:00.0000000,12.91,63
366,Std,2011-12-01 00:00:00.0000000,11.462,63
367,Std,2011-12-01 00:30:00.0000000,11.9480001,63
368,Std,2011-12-01 01:00:00.0000000,10.5830001,63
369,Std,2011-12-01 01:30:00.0000000,9.965,63
370,Std,2011-12-01 02:00:00.0000000,10.802,63
371,Std,2011-12-01 02:30:00.0000000,9.551,63
372,Std,2011-12-01 03:00:00.0000000,8.6810001,63
373,Std,2011-12-01 03:30:00.0000000,7.655,63
374,Std,2011-12-01 04:00:00.0000000,6.78,63
375,Std,2011-12-01 04:30:00.0000000,6.295,63
376,Std,2011-12-01 05:00:00.0000000,6.358,63
377,Std,2011-12-01 05:30:00.0000000,7.589,63
378,Std,2011-12-01 06:00:00.0000000,7.545,63
379,Std,2011-12-01 06:30:00.0000000,9.075,63
380,Std,2011-12-01 07:00:00.0000000,10.2609999,63
381,Std,2011-12-01 07:30:00.0000000,11.948,63
382,Std,2011-12-01 08:00:00.0000000,13.897,63
383,Std,2011-12-01 08:30:00.0000000,12.5650001,63
384,Std,2011-12-01 09:00:00.0000000,11.735,64
385,Std,2011-12-01 09:30:00.0000000,11.262,65
386,Std,2011-12-01 10:00:00.0000000,12.164,68
387,Std,2011-12-01 10:30:00.0000000,14.192,71
388,Std,2011-12-01 11:00:00.0000000,14.655,73
389,Std,2011-12-01 11:30:00.0000000,12.421,74
390,Std,2011-12-01 12:00:00.0000000,13.752,75
391,Std,2011-12-01 12:30:00.0000000,15.58,75
392,Std,2011-12-01 13:00:00.0000000,17.123,77
393,Std,2011-12-01 13:30:00.0000000,15.766,78
394,Std,2011-12-01 14:00:00.0000000,16.403,78
395,Std,2011-12-01 14:30:00.0000000,15.991,78
396,Std,2011-12-01 15:00:00.0000000,17.851,78
397,Std,2011-12-01 15:30:00.0000000,19.573999999999998,78
398,Std,2011-12-01 16:00:00.0000000,17.8529999,78
399,Std,2011-12-01 16:30:00.0000000,19.123,78
400,Std,2011-12-01 17:00:00.0000000,19.765,78
401,Std,2011-12-01 17:30:00.0000000,21.1520001,78
402,Std,2011-12-01 18:00:00.0000000,25.176,78
403,Std,2011-12-01 18:30:00.0000000,24.655,78
404,Std,2011-12-01 19:00:00.0000000,23.19,78
405,Std,2011-12-01 19:30:00.0000000,27.363,78
406,Std,2011-12-01 20:00:00.0000000,27.7159999,78
407,Std,2011-12-01 20:30:00.0000000,25.079000100000002,78
408,Std,2011-12-01 21:00:00.0000000,24.46,78
409,Std,2011-12-01 21:30:00.0000000,21.86,78
410,Std,2011-12-01 22:00:00.0000000,21.5840001,78
411,Std,2011-12-01 22:30:00.0000000,21.9640001,78
412,Std,2011-12-01 23:00:00.0000000,18.812,78
413,Std,2011-12-01 23:30:00.0000000,18.047,78
414,Std,2011-12-02 00:00:00.0000000,15.414,78
415,Std,2011-12-02 00:30:00.0000000,15.2450001,78
416,Std,2011-12-02 01:00:00.0000000,14.8849999,78
417,Std,2011-12-02 01:30:00.0000000,13.075,78
418,Std,2011-12-02 02:00:00.0000000,10.715,78
419,Std,2011-12-02 02:30:00.0000000,10.433,78
420,Std,2011-12-02 03:00:00.0000000,9.528,78
421,Std,2011-12-02 03:30:00.0000000,8.824,78
422,Std,2011-12-02 04:00:00.0000000,8.448,78
423,Std,2011-12-02 04:30:00.0000000,8.906,78
424,Std,2011-12-02 05:00:00.0000000,9.842,78
425,Std,2011-12-02 05:30:00.0000000,10.244,78
426,Std,2011-12-02 06:00:00.0000000,10.3769999,78
427,Std,2011-12-02 06:30:00.0000000,13.596,78
428,Std,2011-12-02 07:00:00.0000000,16.0210001,78
429,Std,2011-12-02 07:30:00.0000000,16.648,78
430,Std,2011-12-02 08:00:00.0000000,20.3390001,78
431,Std,2011-12-02 08:30:00.0000000,19.0099999,78
432,Std,2011-12-02 09:00:00.0000000,19.5160001,78
433,Std,2011-12-02 09:30:00.0000000,17.6190001,79
434,Std,2011-12-02 10:00:00.0000000,19.654,81
435,Std,2011-12-02 10:30:00.0000000,20.6729999,83
436,Std,2011-12-02 11:00:00.0000000,18.077999900000002,84
437,Std,2011-12-02 11:30:00.0000000,21.041000099999998,84
438,Std,2011-12-02 12:00:00.0000000,16.512,85
439,Std,2011-12-02 12:30:00.0000000,18.480000099999998,85
440,Std,2011-12-02 13:00:00.0000000,18.1680001,85
441,Std,2011-12-02 13:30:00.0000000,19.0619999,86
442,Std,2011-12-02 14:00:00.0000000,17.431,86
443,Std,2011-12-02 14:30:00.0000000,18.971,86
444,Std,2011-12-02 15:00:00.0000000,21.2460001,86
445,Std,2011-12-02 15:30:00.0000000,21.8229999,86
446,Std,2011-12-02 16:00:00.0000000,21.5510001,86
447,Std,2011-12-02 16:30:00.0000000,23.912,86
448,Std,2011-12-02 17:00:00.0000000,26.078,86
449,Std,2011-12-02 17:30:00.0000000,27.2259999,86
450,Std,2011-12-02 18:00:00.0000000,28.22,86
451,Std,2011-12-02 18:30:00.0000000,30.682,86
452,Std,2011-12-02 19:00:00.0000000,29.3260001,86
453,Std,2011-12-02 19:30:00.0000000,29.1250001,86
454,Std,2011-12-02 20:00:00.0000000,27.4059999,86
455,Std,2011-12-02 20:30:00.0000000,26.5250001,86
456,Std,2011-12-02 21:00:00.0000000,26.036,86
457,Std,2011-12-02 21:30:00.0000000,26.487000000000002,86
458,Std,2011-12-02 22:00:00.0000000,21.9170001,86
459,Std,2011-12-02 22:30:00.0000000,21.9309999,86
460,Std,2011-12-02 23:00:00.0000000,21.51,86
461,Std,2011-12-02 23:30:00.0000000,17.04,86
462,Std,2011-12-03 00:00:00.0000000,16.032,86
463,Std,2011-12-03 00:30:00.0000000,17.935,87
464,Std,2011-12-03 01:00:00.0000000,14.876999900000001,87
465,Std,2011-12-03 01:30:00.0000000,12.795,87
466,Std,2011-12-03 02:00:00.0000000,12.501,87
467,Std,2011-12-03 02:30:00.0000000,14.5049999,87
468,Std,2011-12-03 03:00:00.0000000,12.084,87
469,Std,2011-12-03 03:30:00.0000000,11.8100001,87
470,Std,2011-12-03 04:00:00.0000000,10.579,87
471,Std,2011-12-03 04:30:00.0000000,9.503,87
472,Std,2011-12-03 05:00:00.0000000,10.776,87
473,Std,2011-12-03 05:30:00.0000000,10.278,87
474,Std,2011-12-03 06:00:00.0000000,11.479,87
475,Std,2011-12-03 06:30:00.0000000,13.312,87
476,Std,2011-12-03 07:00:00.0000000,14.040000000000001,87
477,Std,2011-12-03 07:30:00.0000000,15.05,87
478,Std,2011-12-03 08:00:00.0000000,15.805,87
479,Std,2011-12-03 08:30:00.0000000,16.761,87
480,Std,2011-12-03 09:00:00.0000000,20.492,87
481,Std,2011-12-03 09:30:00.0000000,18.4759999,87
482,Std,2011-12-03 10:00:00.0000000,17.891000000000002,88
483,Std,2011-12-03 10:30:00.0000000,20.931,89
484,Std,2011-12-03 11:00:00.0000000,19.939,89
